AppName,gitLink,FDstoreLink
Petals,https://github.com/LeoColman/Petals,https://f-droid.org//en/packages/br.com.colman.petals/
Inner Breeze,https://github.com/naoxio/inner_breeze,https://f-droid.org//en/packages/io.naox.inbe/
Tasky,https://github.com/thatsmanmeet/Tasky,https://f-droid.org//en/packages/com.thatsmanmeet.taskyapp/
Track Work Time,https://github.com/mathisdt/trackworktime,https://f-droid.org//en/packages/org.zephyrsoft.trackworktime/
QRAlarm,https://github.com/sweakpl/qralarm-android,https://f-droid.org//en/packages/com.sweak.qralarm/
MinCal Widget,https://github.com/mvmike/min-cal-widget,https://f-droid.org//en/packages/cat.mvmike.minimalcalendarwidget/
Yatoo,https://github.com/powerpaul17/yatoo,https://f-droid.org//en/packages/com.paultirk.yatoo/
Al-Azan - Prayer Times,https://github.com/meypod/al-azan,https://f-droid.org//en/packages/com.github.meypod.al_azan/
TimePlanner,https://github.com/v1tzor/TimePlanner,https://f-droid.org//en/packages/ru.aleshin.timeplanner/
plees-tracker,https://github.com/vmiklos/plees-tracker,https://f-droid.org//en/packages/hu.vmiklos.plees_tracker/
CalEF (Calendar Entry Formatter),https://github.com/k3b/CalEF,https://f-droid.org//en/packages/de.k3b.android.calef/
Cuppa - Tea Timer,https://github.com/ncosgray/cuppa_mobile,https://f-droid.org//en/packages/com.nathanatos.Cuppa/
Suntimes,https://github.com/forrestguice/SuntimesWidget,https://f-droid.org//en/packages/com.forrestguice.suntimeswidget/
Nanji clock widget,https://github.com/artyommironov/nanji,https://f-droid.org//en/packages/com.kazufukurou.nanji/
BetterCounter,https://github.com/albertvaka/bettercounter,https://f-droid.org//en/packages/org.kde.bettercounter/
Goodtime - Minimalist Pomodoro Timer,https://github.com/goodtime-productivity/Goodtime,https://f-droid.org//en/packages/com.apps.adrcotfas.goodtime/
Etar - OpenSource Calendar,https://github.com/Etar-Group/Etar-Calendar,https://f-droid.org//en/packages/ws.xsoh.etar/
Casio G-Shock Smart Sync,https://github.com/izivkov/CasioGShockPhoneSync,https://f-droid.org//en/packages/org.avmedia.gshockGoogleSync/
Linwood Flow,https://github.com/LinwoodDev/Flow,https://f-droid.org//en/packages/dev.linwood.flow.nightly/
Persian Calendar,https://github.com/persian-calendar/persian-calendar,https://f-droid.org//en/packages/com.byagowi.persiancalendar/
Friend Alert,https://gitlab.com/audreanne/friend-alert,https://f-droid.org//en/packages/xyz.crucitti.friendalert/
Elements,https://github.com/vendelin8/elements-flutter,https://f-droid.org//en/packages/io.github.vendelin8.elements/
Overload,https://codeberg.org/pabloscloud/Overload,https://f-droid.org//en/packages/cloud.pablos.overload/
Cofi - Brew Timer,https://github.com/rozPierog/Cofi,https://f-droid.org//en/packages/com.omelan.cofi/
Boardgame Clock (Privacy Friendly),https://github.com/SecUSo/privacy-friendly-boardgame-clock,https://f-droid.org//en/packages/org.secuso.privacyfriendlyboardgameclock/
Ubuntu Countdown Widget,https://github.com/leinardi/UbuntuCountdownWidget,https://f-droid.org//en/packages/com.leinardi.ubuntucountdownwidget/
10-bit Clock Widget,https://github.com/ashutoshgngwr/10-bitClockWidget,https://f-droid.org//en/packages/com.github.ashutoshgngwr.tenbitclockwidget/
Timer +X,https://gitlab.com/humbertofraga/timerx,https://f-droid.org//en/packages/net.xisberto.timerpx/
TimeLimit.io,https://codeberg.org/timelimit/timelimit-android,https://f-droid.org//en/packages/io.timelimit.android.aosp.direct/
RxDroid,https://github.com/jclehner/rxdroid,https://f-droid.org//en/packages/at.jclehner.rxdroid/
Giggity,https://github.com/Wilm0r/giggity,https://f-droid.org//en/packages/net.gaast.giggity/
TimeR Machine,https://github.com/timer-machine/timer-machine-android,https://f-droid.org//en/packages/io.github.deweyreed.timer.other/
Simple Time Tracker,https://github.com/Razeeman/Android-SimpleTimeTracker,https://f-droid.org//en/packages/com.razeeman.util.simpletimetracker/
ProgressBars,https://github.com/mattvchandler/progressbars,https://f-droid.org//en/packages/org.mattvchandler.progressbars/
Datenspuren 2023,https://github.com/johnjohndoe/CampFahrplan,https://f-droid.org//en/packages/info.metadude.android.datenspuren.schedule/
Minidoro,https://github.com/ympavlov/minidoro,https://f-droid.org//en/packages/com.github.ympavlov.minidoro/
MRMCD 2023 Schedule,https://github.com/johnjohndoe/CampFahrplan,https://f-droid.org//en/packages/info.metadude.android.mrmcd.schedule/
Screen Time,https://github.com/markusfisch/ScreenTime,https://f-droid.org//en/packages/de.markusfisch.android.screentime/
Break.Down.Timer,https://github.com/jenspfahl/BDT,https://f-droid.org//en/packages/de.jepfa.bdt/
Alarm Klock,https://github.com/kraigs-android/kraigsandroid,https://f-droid.org//en/packages/com.angrydoughnuts.android.alarmclock/
Florae,https://github.com/aeri/Florae,https://f-droid.org//en/packages/cat.naval.florae/
Stocks Widget,https://github.com/premnirmal/StockTicker,https://f-droid.org//en/packages/com.github.premnirmal.tickerwidget/
Tempus Romanum,https://github.com/xavierfreyburger/tempus-romanum,https://f-droid.org//en/packages/com.dev.xavier.tempusromanum/
Camp 2023,https://github.com/EventFahrplan/EventFahrplan,https://f-droid.org//en/packages/info.metadude.android.cccamp.schedule/
Foreground,https://github.com/bgregos/foreground,https://f-droid.org//en/packages/me.bgregos.brighttask/
Achie,https://github.com/IgorKruchinin/AchieApp,https://f-droid.org//en/packages/ru.ikkui.achie/
Everyday Tasks,https://github.com/jenspfahl/EverydayTasks,https://f-droid.org//en/packages/de.jepfa.personaltasklogger/
Was geht App?,https://github.com/cyberbeat/wasgeht-android,https://f-droid.org//en/packages/de.cyberit.wasgeht/
FOSS4G 2023,https://github.com/johnjohndoe/CampFahrplan,https://f-droid.org//en/packages/info.metadude.android.foss4g.schedule/
Sleep Timer,https://github.com/SimonMarquis/SleepTimer,https://f-droid.org//en/packages/fr.smarquis.sleeptimer/
Personal Stuff,https://github.com/rh-id/a-personal-stuff,https://f-droid.org//en/packages/m.co.rh.id.a_personal_stuff/
GPN 2023,https://github.com/johnjohndoe/CampFahrplan,https://f-droid.org//en/packages/info.metadude.android.gpn.schedule/
toodoo,https://gitlab.com/wattwurm/toodo1,https://f-droid.org//en/packages/com.wattwurm.toodoo/
Super Productivity,https://github.com/johannesjo/super-productivity-android,https://f-droid.org//en/packages/com.superproductivity.superproductivity/
Meditation Assistant,https://code.rocket9labs.com/tslocum/meditationassistant.git,https://f-droid.org//en/packages/sh.ftp.rocketninelabs.meditationassistant.opensource/
FOSDEM Companion,https://github.com/cbeyls/fosdem-companion-android,https://f-droid.org//en/packages/be.digitalia.fosdem/
Todo List (PFA),https://github.com/SecUSo/privacy-friendly-todo-list,https://f-droid.org//en/packages/org.secuso.privacyfriendlytodolist/
Birday - Birthday Manager,https://github.com/m-i-n-a-r/birday,https://f-droid.org//en/packages/com.minar.birday/
DeuFeiTage,https://codeberg.org/MicMun/deufeitage,https://f-droid.org//en/packages/de.micmun.android.deufeitage/
ICSxâµ,https://github.com/bitfireAT/icsx5,https://f-droid.org//en/packages/at.bitfire.icsdroid/
Record Time Droid,https://gitlab.com/Oscar65/RecordTimeDroid,https://f-droid.org//en/packages/com.oml.recordtimedroid/
Grazer Linuxtage Schedule,https://github.com/linuxtage/EventFahrplan,https://f-droid.org//en/packages/at.linuxtage.companion/
CLT 2023 Schedule,https://github.com/johnjohndoe/CampFahrplan,https://f-droid.org//en/packages/info.metadude.android.clt.schedule/
Suntimes Calendars,https://github.com/forrestguice/SuntimesCalendars,https://f-droid.org//en/packages/com.forrestguice.suntimescalendars/
Clock31,https://github.com/adolfintel/Clock31,https://f-droid.org//en/packages/com.dosse.clock31/
World Weather,https://github.com/Kestutis-Z/World-Weather,https://f-droid.org//en/packages/com.haringeymobile.ukweather/
Sobriety,https://github.com/KiARC/Sobriety,https://f-droid.org//en/packages/com.katiearose.sobriety/
Always On Clock,https://github.com/Raidenxd2/always_on_clock_normal,https://f-droid.org//en/packages/io.github.aoc_normal/
FOSDEM 2023 Schedule,https://github.com/johnjohndoe/CampFahrplan,https://f-droid.org//en/packages/info.metadude.android.fosdem.schedule/
Meditation,https://github.com/nyxkn/meditation,https://f-droid.org//en/packages/com.nyxkn.meditation/
Did I Take My Meds?,https://github.com/CorruptedArk/did-i-take-my-meds,https://f-droid.org//en/packages/dev.corruptedark.diditakemymeds/
Bodhi Timer,https://github.com/yuttadhammo/BodhiTimer,https://f-droid.org//en/packages/org.yuttadhammo.BodhiTimer/
JEV 2022 Schedule,https://github.com/EventFahrplan/EventFahrplan,https://f-droid.org//en/packages/info.metadude.android.rc3.schedule/
Octal Sun Time,https://github.com/votacom/octalsuntime,https://f-droid.org//en/packages/at.manuelbichler.octalsuntime/
Time Cop,https://github.com/hamaluik/timecop,https://f-droid.org//en/packages/ca.hamaluik.timecop/
Vacation Days,https://github.com/Crazy-Marvin/VacationDays,https://f-droid.org//en/packages/rocks.poopjournal.vacationdays/
FallASleep - Device sleep timer,https://github.com/moritzgloeckl/FallASleep,https://f-droid.org//en/packages/me.gloeckl.fallasleep/
SimpleReminder,https://github.com/felixwiemuth/SimpleReminder,https://f-droid.org//en/packages/felixwiemuth.simplereminder/
YtAlarm,https://github.com/turtton/YtAlarm,https://f-droid.org//en/packages/net.turtton.ytalarm/
LifeDots - Diary in 8 dimensions,https://github.com/XilinJia/Life-Dots,https://f-droid.org//en/packages/com.mdiqentw.lifedots/
Fourth Tools,https://gitlab.com/leestarb/fourthtools,https://f-droid.org//en/packages/com.leestarb.fourthtools/
Open TimeLimit,https://codeberg.org/timelimit/opentimelimit-android,https://f-droid.org//en/packages/io.timelimit.android.open/
Warpclock,https://gitlab.com/antonok/warpclock,https://f-droid.org//en/packages/com.antonok.warpclock/
Bits & BÃ¤ume 2022 Schedule,https://github.com/johnjohndoe/CampFahrplan/tree/bitsundbaeume-2022,https://f-droid.org//en/packages/info.metadude.android.bitsundbaeume.schedule/
Time Clock,https://github.com/NicksPatties/timeclock,https://f-droid.org//en/packages/com.nickspatties.timeclock/
LibreOffice 2022 Schedule,https://github.com/johnjohndoe/CampFahrplan,https://f-droid.org//en/packages/info.metadude.android.libreoffice.schedule/
36C3 Schedule,https://github.com/EventFahrplan/EventFahrplan,https://f-droid.org//en/packages/info.metadude.android.congress.schedule/
Birthday Countdown,https://github.com/DrMaxNix/birthdaycountdown,https://f-droid.org//en/packages/de.drmaxnix.birthdaycountdown/
OneTimeAlarm,https://github.com/matdlu/OneTimeAlarm,https://f-droid.org//en/packages/pl.ascendit.onetimealarm/
ShiftCal,https://gitlab.com/Nulide/ShiftCal,https://f-droid.org//en/packages/de.nulide.shiftcal/
HOPE 2022,https://github.com/johnjohndoe/CampFahrplan,https://f-droid.org//en/packages/info.metadude.android.hope.schedule/
SleepTimer,https://gitlab.com/onestepb/sleeptimer/tree/HEAD,https://f-droid.org//en/packages/com.sleeptimer/
Infusion Tea Timer,https://github.com/Sesu8642/InfusionTimer,https://f-droid.org//en/packages/com.sesu8642.infusion_timer/
Calendar Import-Export,https://github.com/SufficientlySecure/calendar-import-export,https://f-droid.org//en/packages/org.sufficientlysecure.ical/
PolyCal,https://github.com/jasongyorog/PolyCal,https://f-droid.org//en/packages/com.gyorog.polycal/
DiVOC Schedule,https://github.com/johnjohndoe/CampFahrplan,https://f-droid.org//en/packages/info.metadude.android.divoc.schedule/
Todo Agenda,https://github.com/andstatus/todoagenda,https://f-droid.org//en/packages/org.andstatus.todoagenda/
Shorey,https://github.com/elementlo/spark_list,https://f-droid.org//en/packages/com.elementlo.spark_list/
Clock,https://github.com/qw123wh/new-clock-fdroid,https://f-droid.org//en/packages/com.best.deskclock/
WorkTimer,https://gitlab.com/McSnowflake/worktimer,https://f-droid.org//en/packages/com.mcsnowflake.worktimer/
Timetable,https://github.com/JuliusHenke/Timetable-App,https://f-droid.org//en/packages/juliushenke.smarttt/
Just 24 Hours,https://gitlab.com/pardomi/just-24-hours,https://f-droid.org//en/packages/com.chancehorizon.just24hoursplus/
BirthDayDroid,https://gitlab.com/tmendes/BirthDayDroid,https://f-droid.org//en/packages/com.tmendes.birthdaydroid/
Clock,https://github.com/qw123wh/Aospdeskclock,https://f-droid.org//en/packages/com.chen.deskclock/
